item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,accuracy_rate,point_rate,weight,speed,ctype,stype1,stype2,clyn,order,img_src,illegal,size
[CL] RPKs-74,79800000,¡ˆø¯»≠±‚,6,2434,0,17,0.25,0.35,75,400,1,1,1,N,55,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4020.gif,N,TEST
[CL] M89/SR Custom Rifle,98000000,¿˙∞›º“√—,7,20628,0,16,0.35,0.9,65,23,1,1,1,N,56,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4087.gif,N,TEST
[CL] S&W M29 44Magnum,198600000,±«√—,7,12372,0,18,0.3,0.45,45,29,1,1,1,N,59,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4105.gif,N,TEST
[CL] Remington M870 Super Magnum,208500000,º¶∞«,7,2994,0,18,0.2,0.2,95,29,1,1,1,N,60,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4071.gif,N,TEST
[CL] Flame Eater 240cc,216800000,¡ﬂ»≠±‚,7,860,0,6,0.14,0.18,120,300,1,1,1,N,61,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4093-2.gif,N,TEST
[CL] FN P-90 Triple Rail,228600000,±‚∞¸√—,7,1677,0,14,0.33,0.75,52,400,1,1,1,N,62,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4006.gif,N,TEST
[CL] LR300ML,245300000,µπ∞›º“√—,7,2427,0,14,0.32,0.55,60,300,1,1,1,N,63,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4010.gif,N,TEST
[CL] G36K AG36,278000000,µπ∞›º“√—,7,676,0,15,0.28,0.4,100,200,1,1,1,N,64,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4011.gif,N,TEST
[CL] Magnum Blaster,291000000,º¶∞«,7,1081,0,17,0.2,0.25,90,240,1,1,1,N,65,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4110.gif,N,TEST
[CL] S&W M29L 50Magnum,312000000,±«√—,8,15460,0,17,0.28,0.4,50,29,1,1,1,N,66,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4105.gif,N,TEST
[CL] H&K PSG-1,413000000,¿˙∞›º“√—,8,25764,0,15,0.4,0.95,85,23,1,1,1,N,69,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4024.gif,N,TEST
[CL] Franchi Law-12,465000000,º¶∞«,8,3756,0,16,0.18,0.2,120,29,1,1,1,N,70,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/110.gif,N,TEST
[CL] H&K UMP45,478000000,±‚∞¸√—,8,2781,0,13,0.3,0.65,65,300,1,1,1,N,71,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/111.gif,N,TEST
[CL] F2000/HEAT,552000000,µπ∞›º“√—,8,864,0,14,0.26,0.38,110,240,1,1,1,N,73,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4008.gif,N,TEST
[CL] F2000/AntiTank,552000000,µπ∞›º“√—,8,798,0,14,0.26,0.38,110,240,1,1,1,N,74,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4008.gif,N,TEST
[CL] Assault Flame Eater,584000000,µπ∞›º“√—,8,925,0,5,0.13,0.3,150,300,1,1,1,N,75,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4106.gif,N,TEST
[CL] K4,599000000,¡ﬂ»≠±‚,8,734,0,5,0.15,0.3,180,109,1,1,1,N,76,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/113.gif,N,TEST
[CL] S&W 50Magnum Custom,609000000,±«√—,9,19345,0,17,0.3,0.55,70,29,1,1,1,N,77,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/342.gif,N,TEST
[CL] PSG-1 Longrange Custom,820000000,¿˙∞›º“√—,9,32225,0,15,0.45,1,95,23,1,1,1,N,80,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/340.gif,N,TEST
[CL] Franchi SPAS-12 FullPrice,871200000,º¶∞«,9,4715,0,13,0.15,0.2,150,29,1,1,1,N,81,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/339.gif,N,TEST
[CL] H&K UMP45 Custom,900000000,±‚∞¸√—,9,3497,0,13,0.3,0.65,70,300,1,1,1,N,82,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/336.gif,N,TEST
[CL] H&K XM320/HEAT,1298000000,µπ∞›º“√—,9,1100,0,13,0.26,0.6,120,300,1,1,1,N,84,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/346.gif,N,TEST
[CL] H&K XM320/AntiTank,1298000000,µπ∞›º“√—,9,1020,0,13,0.26,0.6,120,300,1,1,1,N,85,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/346.gif,N,TEST
[CL] Assault Shooting Star,1310000000,¡ﬂ»≠±‚,9,1176,0,5,0.12,0.25,180,300,1,1,1,N,86,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4107.gif,N,TEST
[CL] AT-4,1499000000,¡ﬂ»≠±‚,9,268,0,5,0.12,0.1,210,9,1,1,1,N,87,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/217.gif,N,TEST
[CL] Desert Eagle 50 Custom,1650000000,±«√—,10,24226,0,17,0.27,0.5,80,29,1,1,1,N,88,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/420.gif,N,TEST
[CL] H&K G11,2100000000,±‚∞¸¥‹√—,10,4396,0,12,0.28,0.7,95,300,1,1,1,N,89,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/445.gif,N,TEST
[CL] M82A1 Barett,3262000000,¿˙∞›º“√—,10,40342,0,14,0.32,0.65,170,23,1,1,1,N,92,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/431.gif,N,TEST
[CL] Assault Meteoric Star,3450000000,¡ﬂ»≠±‚,10,1492,0,5,0.11,0.25,215,300,1,1,1,N,93,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/455.gif,N,TEST
[CL] Franchi Rapter,3610000000,º¶∞«,10,5921,0,12,0.14,0.2,190,29,1,1,1,N,94,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/444_1.gif,N,TEST
[CL] FN SCAR-H EGLM/HEAT,3980000000,µπ∞›º“√—,10,1400,0,13,0.25,0.35,165,240,1,1,1,N,95,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/451_1.gif,N,TEST
[CL] FN SCAR-H EGLM/AntiTank,3980000000,µπ∞›º“√—,10,1303,0,13,0.25,0.35,165,240,1,1,1,N,96,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/451_1.gif,N,TEST
[CL] XM307,4556000000,¡ﬂ»≠±‚,10,493,0,5,0.6,0.2,330,80,1,1,1,N,97,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/11.png,N,TEST
